number of points;est
550;3.14182
550;3.21455
550;3.13455
550;3.14182
550;3.11273
550;3.09818
550;3.16364
550;3.09091
550;3.17091
550;3.07636
550;3.21455
550;3.05455
550;3.21455
550;3.14182
550;3.22182
550;3.2
550;3.09818
550;2.97455
550;3.21455
550;3.30909
550;3.06909
550;3.17091
550;3.18545
550;3.27273
550;3.10545
550;3.06909
550;3.16364
550;3.12727
550;3.22909
550;3.07636
550;3.2
550;3.22182
550;3.23636
550;3.14909
550;3.09091
550;3.20727
550;3.17818
550;3.08364
550;3.04727
550;3.18545
550;3.03273
550;3.22909
550;3.12
600;3.23333
600;3.28667
600;3.20667
600;3.20667
600;3.14667
600;3.1
600;3.15333
600;3.06
600;3.14
600;3.24
600;3.13333
600;3.05333
600;3.13333
600;3.14
600;3.11333
600;3.16
600;3.09333
600;3.11333
600;3.06
600;2.98667
600;3.20667
600;3.16667
600;3.18
600;3.05333
600;3.17333
600;3.14667
600;3.16
600;3.24
600;3.22667
600;3.1
600;3.1
600;3.31333
600;3.07333
600;3.15333
600;3.13333
600;3.14667
600;3.2
600;3.14667
600;3.06667
600;3.09333
600;3.00667
600;3.16667
600;3.13333
600;3.12667
600;3.06
600;3.02
600;3.19333
600;3.05333
600;3.16667
600;3.28667
650;3.12
650;3.15692
650;3.23692
650;3.15692
650;3.21846
650;3.06462
650;3.18154
650;3.16308
650;3.05231
650;3.13846
650;3.08308
650;3.12615
650;3.10154
650;3.13846
650;3.17538
650;3.08923
650;3.13846
650;3.11385
650;3.07692
650;3.22462
650;3.16308
650;3.16923
650;3.24923
650;3.12615
650;3.14462
650;3.23692
650;3.19385
650;3.16923
650;2.98462
650;3.23692
650;3.19385
650;3.09538
650;3.16923
650;3.00308
650;3.17538
650;3.10769
650;3.18769
650;3.20615
650;3.19385
650;3.16923
650;3.07077
650;3.22462
650;3.10769
650;3.13231
650;3.23077
650;3.18154
650;3.14462
650;3.04
650;3.10154
650;3.04
700;3.18286
700;3.2
700;3.09143
700;3.26286
700;3.13143
700;3.26286
700;3.08571
700;3.14286
700;3.15429
700;3.16
700;3.12571
700;2.97714
700;3.12571
700;3.20571
700;3.16571
700;3.15429
700;3.28
700;3.09143
700;3.10857
700;3.13714
700;3.23429
700;3.13143
700;3.2
700;3.07429
700;3.14286
700;3.12571
700;3.08
700;3.20571
700;3.2
700;3.09143
700;3.12
700;3.25143
700;3.16571
700;3.07429
700;2.99429
700;3.17143
700;3.2
700;3.10286
700;3.23429
700;3.11429
700;3.13143
700;3.17714
700;3.10857
700;3.02286
700;3.17714
700;3.07429
700;3.14857
700;3.18286
700;3.18286
700;3.13714
750;3.168
750;3.09867
750;3.23733
750;3.24267
750;3.12533
750;3.15733
750;3.072
750;3.152
750;3.20533
750;3.168
750;3.15733
750;3.09333
750;3.13067
750;3.01867
750;3.17867
750;3.08267
750;3.02933
750;3.024
750;3.21067
750;3.072
750;3.072
750;3.18933
750;3.14133
750;3.13067
750;3.104
750;3.11467
750;3.19467
750;3.22667
750;3.15733
750;3.22667
750;3.19467
750;3.104
750;3.12533
750;3.248
750;3.17333
750;3.024
750;3.104
750;3.23733
750;2.976
750;3.17867
750;3.05067
750;3.17333
750;3.12
750;3.23733
750;3.152
750;3.23733
750;3.152
750;3.03467
750;3.15733
750;3.09867
800;3.175
800;3.2
800;3.1
800;3.075
800;3.21
800;3.145
800;3.02
800;3.13
800;3.14
800;3.075
800;3.12
800;3.28
800;3.12
800;3.065
800;3.115
800;3.03
800;3.215
800;3.14
800;3.035
800;3.12
800;3.2
800;3.15
800;3.17
800;3.22
800;3.14
800;3.035
800;3.24
800;3.26
800;3.1
800;3.105
800;3.145
800;3.175
800;3.14
800;3.105
800;2.925
800;3.22
800;3.11
800;3.15
800;3.14
800;3.23
800;3.165
800;3.145
800;3.19
800;3.07
800;3.125
800;3.22
800;3
800;3.09
800;3.155
800;3.09
850;3.19059
850;3.11529
850;3.13882
850;3.18118
850;3.20941
850;3.08235
850;3.18588
850;3.18118
850;3.13882
850;3.15765
850;3.22824
850;3.13882
850;3.10118
850;3.23294
850;3.13882
850;3.11529
850;3.02588
850;3.16706
850;3.18118
850;3.12
850;3.13412
850;3.28
850;3.09176
850;3.07765
850;3.09647
850;3.19529
850;3.14824
850;3.18118
850;3.24235
850;3.12471
850;3.19529
850;3.2
850;3.13412
850;3.06824
850;3.10588
850;3.12941
850;3.11059
850;3.04
850;3.05882
850;3.13882
850;3.15294
850;3.13412
850;3.17647
850;3.15765
850;3.11529
850;3.19529
850;3.16235
850;3.12941
850;3.14353
850;3.17647
900;3.17333
900;3.17333
900;3.05333
900;3.12
900;3.24444
900;3.19111
900;3.16889
900;3.09778
900;3.20444
900;3.16
900;3.22222
900;3.09778
900;3.09333
900;3.09778
900;3.14667
900;3.16889
900;3.13778
900;3.21333
900;3.12
900;3.13333
900;3.02667
900;3.14667
900;3.18667
900;3.12444
900;3.13778
900;3.11111
900;3.05778
900;3.10222
900;3.23556
900;3.23556
900;3.21778
900;3.06667
900;3.07556
900;3.16
900;3.08
900;3.08889
900;3.05778
900;3.19556
900;3.15111
900;3.29333
900;3.07111
900;3.04444
900;3.18667
900;3.11111
900;3.12889
900;3.09333
900;3.12889
900;3.24
900;3.14667
900;3.26667
950;3.15368
950;3.15368
950;3.21684
950;3.13684
950;3.17053
950;3.03158
950;3.20421
950;3.02316
950;3.17895
950;3.12
950;3.08211
950;3.11158
950;3.06947
950;3.12
950;3.09053
950;3.07368
950;3.10737
950;3.18737
950;3.21263
950;3.01053
950;3.28421
950;3.18737
950;3.20421
950;3.13263
950;3.10316
950;3.17895
950;3.11158
950;3.16632
950;3.16632
950;3.21684
950;3.19158
950;3.13684
950;3.17895
950;3.13684
950;3.19579
950;3.04842
950;3.16211
950;3.14105
950;3.12421
950;3.11579
950;3.12
950;3.07789
950;3.16211
950;3.12421
950;3.17474
950;3.15789
950;3.08211
950;3.20421
950;3.13684
950;3.09474
1000;3.096
1000;3.16
1000;3.104
1000;3.048
1000;3.14
1000;3.024
1000;3.164
1000;3.084
1000;3.076
1000;3.18
1000;3.164
1000;3.136
1000;3.164
1000;3.116
1000;3.128
1000;3.116
1000;3.144
1000;3.184
1000;3.108
1000;3.092
1000;3.112
1000;3.14
1000;3.08
1000;3.212
1000;3.124
1000;3.012
1000;3.064
1000;3.216
1000;3.108
1000;3.112
1000;3.16
1000;3.08
1000;3.2
1000;3.076
1000;3.144
1000;3.176
1000;3.192
1000;3.108
1000;3.188
1000;3.12
1000;3.016
1000;3.192
1000;3.176
1000;3.116
1000;3.18
1000;3.184
1000;3.128
1000;3.096
1000;3.224
1000;3.152
1050;3.05524
1050;3.07429
1050;3.21143
1050;3.15048
1050;3.19238
1050;3.11619
1050;3.22667
1050;3.15429
1050;3.15048
1050;3.04
1050;3.18476
1050;3.07429
1050;3.14286
1050;3.14286
1050;3.08952
1050;3.18476
1050;3.2381
1050;3.11238
1050;3.12
1050;3.10095
1050;3.22286
1050;3.2381
1050;3.16952
1050;3.15048
1050;3.11619
1050;3.10857
1050;3.13524
1050;3.1581
1050;3.10476
1050;3.18476
1050;3.14286
1050;3.15429
1050;3.18857
1050;3.17333
1050;3.16952
1050;3.12762
1050;3.07048
1050;3.23048
1050;3.12381
1050;3.13905
1050;3.08952
1050;3.18857
1050;3.02857
1050;3.15048
1050;3.15429
1050;3.19619
1050;3.0781
